Siren,CA2013,CA2014,CA2015,CA2016,CA2017,CA2018,Résultat2013,Résultat2014,Résultat2015,Résultat2016,Résultat2017,Résultat2018,Effectif2013,Effectif2014,Effectif2015,Effectif2016,Effectif2017,Effectif2018
391990298,2987928,2907552,2954278,4015523,3878234,4166521,-161630,47082,43816,98678,260007,165139,15,15,13,16,16,14
392230934,630357,617585,723855,597767,565297,535365,-20235,-2754,26490,-27234,3058,22242,4,4,3,3,2,1
433727427,668397,789940,682379,913397,641388,662441,-12754,61137,34244,30491,18187,31919,9,9,7,7,9,9
482864519,1177716,1157527,1159591,1336474,1288160,1373570,134660,70728,33639,32532,36967,53641,2,2,2,2,2,2
392352233,785438,764171,754447,770555,752177,789697,10148,13172,16386,19452,4892,29629,5,5,4,4,3,3
392030326,491425,689358,1037640,845071,887600,837626,12721,5156,14029,28348,23141,28705,4,4,4,4,5,4
482967924,412100,435725,431158,540434,465243,628881,6761,6740,10550,25912,10312,25495,4,5,4,4,5,7
392645040,651238,647696,599060,558183,516293,566641,100571,114749,79045,69614,61309,79599,7,7,6,5,5,5
432604247,1172718,1032395,1277443,1408108,521209,1579001,-362121,-460628,-334755,49958,-765331,112959,11,11,10,11,14,10
483092656,1726072,1537841,1783136,1346929,985869,1752653,108435,108266,56988,46655,29024,28734,13,13,10,9,9,9
432028272,313818,259726,370467,537392,806378,830449,1051120,574740,530381,581305,509881,428753,1,1,2,2,2,2
483683405,1716338,1201985,2562125,2264031,1970298,2239222,95727,94383,101613,103184,102707,93438,12,15,19,19,19,17
753970953,2171983,2011169,2536901,2732241,3437217,3735015,25293,27026,57285,33737,162661,1428,5,9,9,12,17,25
393712237,7283322,5986306,7051462,6166229,6118573,5551701,451398,-328558,645255,306384,347567,267282,34,36,40,47,45,40
872501523,20293990,18910150,23620380,24467810,20988630,18407110,67910,-118940,279480,-5e3,-99220,48390,37,36,37,35,36,37
